"","Total threshold criteria exceeded","Total population","Percent Black or African American alone","Percent American Indian / Alaska Native","Percent Asian","Percent Native Hawaiian or Pacific","Percent two or more races","Percent White","Percent Hispanic or Latino","Percent other races","Percent age under 10","Percent age 10 to 64","Percent age over 64","Total categories exceeded","Adjusted percent of individuals below 200% Federal Poverty Line (percentile)","Adjusted percent of individuals below 200% Federal Poverty Line"
"1",0,221582073,0.0814140960687489,0.0036892331393359,0.0516801692995013,0.00155412051490418,0.0276215337213285,0.705837537409148,0.112302742683682,0.0248713070246712,0.10614077150319,0.711118936507257,0.167846470008991,0.00208315798333396,0.3267022734084,0.140729759815045
"2",1,24882275,0.129666789396171,0.00614402073306181,0.0732713549337265,0.00523572744014711,0.0300259163272862,0.473924889543446,0.278803167004235,0.0775244059679497,0.119022041118726,0.718286719762919,0.147816262270791,1.03589837997054,0.643143174661974,0.322561585478792
"3",2,18285881,0.135984813621721,0.00973004153207198,0.0180487804878049,0.00294131185270421,0.0291532071988925,0.528041877588587,0.282398158803221,0.0642597282984116,0.118702677746999,0.709171283471837,0.15716297322253,1.85089737689829,0.767243767313019,0.417786241920591
"4",3,14503256,0.153736295441431,0.0131697459584295,0.0178880553952684,0.00118614718614719,0.0280369515011548,0.531829197922677,0.245450086555107,0.0609203693017886,0.125066435586366,0.706227614095898,0.153746389370306,2.5334679746105,0.7789716926632,0.415944540727903
"5",4,11597151,0.181483961931618,0.014071201973916,0.0243708142403948,0.00104688050757842,0.0283715192104336,0.487455058160028,0.253651744800846,0.0625202678886146,0.126422277053225,0.703623545999295,0.154814945364822,3.14416637292915,0.805907648924921,0.436520972858653
"6",5,9254745,0.22382951653944,0.0144444444444445,0.0300805767599662,0.00120016963528414,0.0286132315521629,0.418952502120441,0.275271416454623,0.0772137404580152,0.131467345207803,0.707947413061917,0.145568278201866,3.69847328244275,0.830441051738762,0.4630491942324
"7",6,6982734,0.264661157024793,0.0175096418732782,0.0355426997245179,0.00137741046831956,0.029702479338843,0.347526170798898,0.296231404958678,0.094870523415978,0.133289256198347,0.713977961432507,0.137581267217631,4.166391184573,0.847239669421488,0.484771349862259
"8",7,5556144,0.320310641110377,0.0189424983476536,0.0418572372769334,0.00147389292795769,0.0290548578982155,0.263040317250496,0.321513549239921,0.110257766027759,0.135763384005288,0.71964970257766,0.129636483807006,4.54395241242565,0.866662260409782,0.509299405155321
"9",8,4945413,0.352106413994169,0.020298833819242,0.03966472303207,0.00187317784256561,0.0286443148688047,0.233615160349854,0.322179300291545,0.111428571428571,0.140845481049563,0.718126822157434,0.12618804664723,4.90087463556851,0.88216472303207,0.532354227405248
"10",9,3544824,0.423659454374412,0.0258513640639699,0.0292944496707432,0.00079021636876764,0.028447789275635,0.203160865475071,0.290611476952022,0.100724365004704,0.144139228598307,0.715973659454374,0.124760112888053,5.14016933207902,0.90280338664158,0.560131702728128
"11",10,2858954,0.461270536692223,0.0193209200438117,0.0259255202628697,0.000569550930996713,0.0273603504928806,0.180952902519168,0.285695509309967,0.104359255202629,0.144512595837897,0.717097480832421,0.123340635268346,5.44359255202629,0.916944140197152,0.585761226725082
"12",11,2007398,0.541315396113602,0.0214050822122571,0.0245291479820628,0.000747384155455903,0.0286696562032885,0.143378176382661,0.243348281016442,0.0948729446935725,0.146397608370703,0.710568011958146,0.127877428998505,5.70702541106128,0.926905829596413,0.60423019431988
"13",12,1097823,0.578539603960396,0.00933168316831685,0.0222524752475247,0.000346534653465346,0.0241336633663366,0.13519801980198,0.235247524752475,0.0905693069306931,0.149306930693069,0.705965346534653,0.129727722772277,6.0940594059406,0.94519801980198,0.640247524752475
"14",13,711942,0.55824,0.0036,0.03588,0.000319999999999999,0.0246,0.1292,0.24996,0.10976,0.1468,0.711,0.12688,6.212,0.94556,0.63384
"15",14,280807,0.628061224489796,0.00357142857142857,0.0212244897959184,0.000306122448979592,0.0244897959183673,0.111224489795918,0.219591836734694,0.0893877551020408,0.141632653061224,0.710612244897959,0.133163265306122,6.61224489795918,0.957551020408163,0.657857142857143
"16",15,116241,0.613829787234043,0.00212765957446809,0.0534042553191489,0.000212765957446809,0.021063829787234,0.115744680851064,0.18936170212766,0.0765957446808511,0.15936170212766,0.687446808510638,0.138297872340426,6.82978723404255,0.956382978723404,0.657659574468085
"17",16,35720,0.61,0.00125,0.04625,0.000625,0.018125,0.08125,0.25125,0.12375,0.130625,0.690625,0.164375,7.25,0.959375,0.689375
"18",17,19985,0.7575,0,0.00125,0,0.0225,0.07375,0.1575,0.05875,0.16625,0.7175,0.1,7.375,0.97,0.69125
"19",18,4343,0.716666666666667,0.00333333333333333,0,0,0.02,0.1,0.183333333333333,0.0566666666666667,0.22,0.68,0.0866666666666667,6.66666666666667,0.983333333333333,0.756666666666667
