"State/Territory","thd_exceeded_per_state","tot_num_tracts_per_state","cat_exceeded_per_state","state_tract_dac_n","n_thd_exceeded_per_dac","n_cat_exceeded_per_dac"
"Alabama",2930,1181,1973,655,4.47328244274809,3.01221374045802
"Alaska",164,167,135,44,3.72727272727273,3.06818181818182
"American Samoa",19,18,16,16,1.1875,1
"Arizona",2092,1526,1479,566,3.69611307420495,2.613074204947
"Arkansas",1513,686,1083,418,3.61961722488038,2.59090909090909
"California",13928,8057,10203,3081,4.52061019149627,3.31158714703019
"Colorado",759,1249,624,263,2.88593155893536,2.37262357414449
"Connecticut",1028,833,664,185,5.55675675675676,3.58918918918919
"Delaware",158,218,111,38,4.1578947368421,2.92105263157895
"District of Columbia",356,179,222,63,5.65079365079365,3.52380952380952
"Florida",7148,4245,5204,1721,4.15339918651947,3.02382335851249
"Georgia",3010,1969,2121,830,3.62650602409639,2.55542168674699
"Guam",12,57,9,9,1.33333333333333,1
"Hawaii",154,351,130,51,3.01960784313725,2.54901960784314
"Idaho",281,298,230,119,2.36134453781513,1.9327731092437
"Illinois",5912,3123,3825,1061,5.57210179076343,3.60508953817154
"Indiana",2479,1511,1630,554,4.47472924187726,2.94223826714801
"Iowa",563,825,434,177,3.18079096045198,2.45197740112994
"Kansas",942,770,660,241,3.90871369294606,2.73858921161826
"Kentucky",2444,1115,1691,564,4.33333333333333,2.99822695035461
"Louisiana",3732,1148,2233,641,5.82215288611545,3.48361934477379
"Maine",402,358,336,127,3.16535433070866,2.64566929133858
"Maryland",1355,1406,808,261,5.19157088122605,3.09578544061303
"Massachusetts",1650,1478,1070,335,4.92537313432836,3.19402985074627
"Michigan",5629,2813,3595,1002,5.61776447105788,3.5878243512974
"Minnesota",601,1338,433,200,3.005,2.165
"Mississippi",1966,664,1317,435,4.51954022988506,3.02758620689655
"Missouri",2386,1393,1714,557,4.28366247755835,3.07719928186715
"Montana",335,271,272,99,3.38383838383838,2.74747474747475
"Nebraska",522,532,385,129,4.04651162790698,2.98449612403101
"Nevada",937,687,677,261,3.59003831417625,2.59386973180077
"New Hampshire",127,295,92,25,5.08,3.68
"New Jersey",3013,2010,1973,536,5.62126865671642,3.68097014925373
"New Mexico",991,499,730,267,3.71161048689139,2.73408239700375
"New York",9274,4919,5939,1773,5.23068245910885,3.34968979131416
"North Carolina",3069,2195,2150,884,3.47171945701357,2.43212669683258
"North Dakota",77,205,53,22,3.5,2.40909090909091
"Northern Mariana Islands",29,25,19,19,1.52631578947368,1
"Ohio",5830,2952,3470,1088,5.35845588235294,3.18933823529412
"Oklahoma",2279,1046,1469,781,2.91805377720871,1.8809218950064
"Oregon",721,834,582,239,3.01673640167364,2.43514644351464
"Pennsylvania",4637,3218,2888,884,5.24547511312217,3.26696832579186
"Puerto Rico",1343,945,1796,824,1.62985436893204,2.17961165048544
"Rhode Island",358,244,236,61,5.86885245901639,3.86885245901639
"South Carolina",1778,1103,1289,506,3.51383399209486,2.54743083003953
"South Dakota",228,222,172,72,3.16666666666667,2.38888888888889
"Tennessee",2584,1497,1739,696,3.71264367816092,2.4985632183908
"Texas",9246,5265,6717,2369,3.90291262135922,2.83537357534825
"Utah",350,588,276,90,3.88888888888889,3.06666666666667
"Vermont",67,184,61,28,2.39285714285714,2.17857142857143
"Virgin Islands",13,32,7,7,1.85714285714286,1
"Virginia",1563,1907,1130,449,3.48106904231626,2.51670378619154
"Washington",1049,1458,820,306,3.4281045751634,2.6797385620915
"West Virginia",1415,484,984,298,4.74832214765101,3.30201342281879
"Wisconsin",1301,1409,868,301,4.32225913621262,2.88372093023256
"Wyoming",45,132,40,20,2.25,2
